douban_url,name,poster,rank,score,score_num,year
https://movie.douban.com/subject/26683290/,你的名字。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg,163,8.5,1281590,2016
https://movie.douban.com/subject/1867345/,遗愿清单,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1481879628.jpg,198,8.7,405591,2007
https://movie.douban.com/subject/1307106/,无间道2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p958008320.jpg,199,8.7,422985,2003
https://movie.douban.com/subject/1907966/,疯狂原始人,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg,165,8.7,783098,2013
https://movie.douban.com/subject/1292329/,牯岭街少年杀人事件,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,200,8.9,262343,1991
https://movie.douban.com/subject/1309163/,恋恋笔记本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,197,8.6,618637,2004
https://movie.douban.com/subject/1291870/,雨人,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2353324612.jpg,196,8.7,376965,1988
https://movie.douban.com/subject/1307811/,魔女宅急便,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456676352.jpg,195,8.7,422368,1989
https://movie.douban.com/subject/4848115/,你看起来好像很好吃,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,191,8.9,309543,2010
https://movie.douban.com/subject/1978709/,黑天鹅,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,193,8.6,740633,2010
https://movie.douban.com/subject/3792799/,岁月神偷,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p456666151.jpg,174,8.7,545340,2010
https://movie.douban.com/subject/1293460/,雨中曲,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.jpg,190,9.1,200273,1952
https://movie.douban.com/subject/1793929/,达拉斯买家俱乐部,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg,161,8.8,420696,2013
https://movie.douban.com/subject/1291578/,冰川时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,189,8.6,569705,2002
https://movie.douban.com/subject/1292226/,2001太空漫游,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2560717825.jpg,194,8.9,287269,1968
https://movie.douban.com/subject/3011051/,恐怖游轮,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg,192,8.5,776275,2009
https://movie.douban.com/subject/1438652/,无耻混蛋,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg,223,8.6,437570,2009
https://movie.douban.com/subject/1292287/,新龙门客栈,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,220,8.7,408060,1992
https://movie.douban.com/subject/3592854/,疯狂的麦克斯4：狂暴之路,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2236181653.jpg,219,8.6,485780,2015
https://movie.douban.com/subject/1300117/,千钧一发,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.jpg,225,8.8,264457,1997
https://movie.douban.com/subject/1428175/,血钻,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.jpg,224,8.7,349185,2006
https://movie.douban.com/subject/25724855/,房间,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2259715855.jpg,221,8.8,349565,2015
https://movie.douban.com/subject/24733428/,心灵奇旅,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2626308994.jpg,222,8.7,878426,2020
https://movie.douban.com/subject/1303394/,青蛇,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2570901292.jpg,215,8.6,482507,1993
https://movie.douban.com/subject/1291844/,终结者2：审判日,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,214,8.8,316154,1991
https://movie.douban.com/subject/1291879/,罗生门,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1598883511.jpg,213,8.8,288507,1950
https://movie.douban.com/subject/5300054/,波西米亚狂想曲,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,216,8.6,552265,2018
https://movie.douban.com/subject/2297265/,浪潮,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.jpg,250,8.7,258097,2008
https://movie.douban.com/subject/25921812/,驴得水,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg,249,8.3,858721,2016
https://movie.douban.com/subject/26614893/,完美陌生人,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.jpg,247,8.5,493423,2016
https://movie.douban.com/subject/5908478/,我爱你,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p824590592.jpg,246,9.1,153472,2011
https://movie.douban.com/subject/3552028/,弱点,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2577248102.jpg,248,8.7,265700,2009
https://movie.douban.com/subject/1760622/,香水,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2571500223.jpg,244,8.5,511665,2006
https://movie.douban.com/subject/1307394/,千年女优,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215102596.jpg,243,8.8,233112,2001
https://movie.douban.com/subject/2363506/,地球上的星星,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2197897857.jpg,245,8.9,190991,2007
https://movie.douban.com/subject/1937946/,穿越时空的少女,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.jpg,242,8.6,357434,2006
https://movie.douban.com/subject/26787574/,奇迹男孩,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2507709428.jpg,218,8.6,518672,2017
https://movie.douban.com/subject/3443389/,海洋,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.jpg,240,9.1,150294,2009
https://movie.douban.com/subject/1787291/,被嫌弃的松子的一生,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg,97,8.9,660661,2006
https://movie.douban.com/subject/1304102/,谍影重重,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.jpg,238,8.6,393137,2002
https://movie.douban.com/subject/25864085/,火星救援,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2280097442.jpg,237,8.5,659065,2015
