,id,annId,title,content,attachPath,attachFormat,attachSize,_index,publishTime,secCode,secName,bondType,bigIndustryCode,bigCategoryId,smallCategoryId,channelCode
0,ce716dd4-6c17-422a-9b2b-8c25a9fc427d,1215329911,22南网GK：中国南方电网有限责任公司公开发行2022年绿色科技创新公司债券（面向专业投资者）（第一期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-12/1bab035c-57ac-432d-822c-26c367b6a0f3.PDF,PDF,6531,ows_disclosure-20180825,2022-12-12 16:58:23,['148156'],['22南网GK'],,,,,
0,5edc4447-3c3f-49e3-a730-fd606100af3c,1215329904,22南网GK：中国南方电网有限责任公司公开发行2022年绿色科技创新公司债券（面向专业投资者）（第一期）募集说明书,,/disc/disk03/finalpage/2022-12-12/6d3eaa5c-8bf9-41b5-a0e9-ef5879789a26.PDF,PDF,9476,ows_disclosure-20180825,2022-12-12 16:58:22,['148156'],['22南网GK'],,,,,
0,5a16f8c0-fd47-42ee-b7b1-a47954dcf1c3,1215315431,22蛇口10：招商局蛇口工业区控股股份有限公司2022年面向专业投资者公开发行公司债券（第五期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-09/b6b3e979-00a5-4bf2-ad43-36c1ec9fc2b3.PDF,PDF,4592,ows_disclosure-20180825,2022-12-09 18:07:18,['148155'],['22蛇口10'],,,,,
0,29b226e3-d52c-4af7-982e-d015e3334142,1215315430,22蛇口10：招商局蛇口工业区控股股份有限公司2022年面向专业投资者公开发行公司债券（第五期）募集说明书,,/disc/disk03/finalpage/2022-12-09/6c00bbcb-f1c0-4e39-aae3-0b9153ceed8a.PDF,PDF,10266,ows_disclosure-20180825,2022-12-09 18:07:17,['148155'],['22蛇口10'],,,,,
0,bc04d842-033a-4385-9788-8e9ff6f66dc9,1215315426,22蛇口09：招商局蛇口工业区控股股份有限公司2022年面向专业投资者公开发行公司债券（第五期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-09/18c9276e-2a53-424d-8665-c8189bc978e8.PDF,PDF,4592,ows_disclosure-20180825,2022-12-09 18:05:16,['148154'],['22蛇口09'],,,,,
0,03fc96f0-75f1-4ae7-acd9-47798f92676c,1215315425,22蛇口09：招商局蛇口工业区控股股份有限公司2022年面向专业投资者公开发行公司债券（第五期）募集说明书,,/disc/disk03/finalpage/2022-12-09/25479b3b-5cf9-4670-bb8b-6c6153099ce6.PDF,PDF,10266,ows_disclosure-20180825,2022-12-09 18:05:16,['148154'],['22蛇口09'],,,,,
0,3b74c924-4e02-4c09-a269-5d1419f9169e,1215306363,22碧地03：碧桂园地产集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-08/86744441-9b49-4089-87d5-cfc58afea685.PDF,PDF,2549,ows_disclosure-20180825,2022-12-08 22:20:20,['148153'],['22碧地03'],,,,,
0,fd2a7c9f-849d-4ae2-bb6e-7fe4d875c79c,1215306358,22碧地02：碧桂园地产集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-08/db9925a8-9e19-43b2-909f-a156050bfb90.PDF,PDF,2549,ows_disclosure-20180825,2022-12-08 22:20:19,['148152'],['22碧地02'],,,,,
0,d9d2a3f4-dc01-4d8a-841c-1974c0037cb0,1215306362,22碧地03：碧桂园地产集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书,,/disc/disk03/finalpage/2022-12-08/cfaa910c-744f-49c4-b251-4f280073eb8e.PDF,PDF,8830,ows_disclosure-20180825,2022-12-08 22:20:19,['148153'],['22碧地03'],,,,,
0,8fa844cf-72bf-4646-843c-9b2a19d01086,1215306357,22碧地02：碧桂园地产集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书,,/disc/disk03/finalpage/2022-12-08/1e859e38-d4a0-4d95-9b69-6f6f1f0ae710.PDF,PDF,8830,ows_disclosure-20180825,2022-12-08 22:18:21,['148152'],['22碧地02'],,,,,
0,8a77a766-1e8f-454e-ab90-fd5063c9de92,1215305962,22铁隧Y2：中铁隧道局集团有限公司2022年面向专业投资者公开发行可续期公司债券（第一期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-08/5b339e3f-42c4-4238-b2a2-b66e92a053c2.PDF,PDF,6604,ows_disclosure-20180825,2022-12-08 20:48:23,['148151'],['22铁隧Y2'],,,,,
0,9eb4862e-f15f-48af-b9cd-fde2feee4823,1215305961,22铁隧Y2：中铁隧道局集团有限公司2022年面向专业投资者公开发行可续期公司债券（第一期）募集说明书,,/disc/disk03/finalpage/2022-12-08/4fa4cd6f-3353-4169-be90-15241a28c80d.PDF,PDF,10558,ows_disclosure-20180825,2022-12-08 20:48:22,['148151'],['22铁隧Y2'],,,,,
0,af6961ec-6387-4651-a02c-6d3427d33c97,1215305957,22铁隧Y1：中铁隧道局集团有限公司2022年面向专业投资者公开发行可续期公司债券（第一期）募集说明书,,/disc/disk03/finalpage/2022-12-08/cd6dd8fe-b707-4d67-83e8-2f7489fc86f0.PDF,PDF,10558,ows_disclosure-20180825,2022-12-08 20:46:21,['148150'],['22铁隧Y1'],,,,,
0,ac092c93-3116-482e-bf43-4d9ac7d47cc3,1215305958,22铁隧Y1：中铁隧道局集团有限公司2022年面向专业投资者公开发行可续期公司债券（第一期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-08/36dfbe4d-b934-4c96-8c19-440e65fc19dc.PDF,PDF,6604,ows_disclosure-20180825,2022-12-08 20:46:21,['148150'],['22铁隧Y1'],,,,,
0,a603e724-8660-4aed-b154-b3f6effbb184,1215296257,22华润Y4：华润电力投资有限公司2022年面向专业投资者公开发行可续期公司债券（第三期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-07/8e049ad0-542d-48e4-9f43-63c50eb134fb.PDF,PDF,2984,ows_disclosure-20180825,2022-12-07 22:26:07,['148144'],['22华润Y4'],,,,,
0,21364cb8-37a9-412c-a3e6-3b780c15663c,1215296256,22华润Y4：华润电力投资有限公司2022年面向专业投资者公开发行可续期公司债券（第三期）募集说明书,,/disc/disk03/finalpage/2022-12-07/46e3d1ec-2dd4-4456-b2a1-4a1ff0d0731e.PDF,PDF,11129,ows_disclosure-20180825,2022-12-07 22:26:07,['148144'],['22华润Y4'],,,,,
0,8a9b8233-81c5-4764-a9c7-16a02c089a19,1215296247,22华润Y3：华润电力投资有限公司2022年面向专业投资者公开发行可续期公司债券（第三期）募集说明书,,/disc/disk03/finalpage/2022-12-07/768ff0c7-d0c0-48fa-9a14-017d567bcb63.PDF,PDF,11129,ows_disclosure-20180825,2022-12-07 22:24:24,['148143'],['22华润Y3'],,,,,
0,8a3d60f5-9646-4e0a-a53e-81aca906d73e,1215296248,22华润Y3：华润电力投资有限公司2022年面向专业投资者公开发行可续期公司债券（第三期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-07/9c028555-a359-4386-8b68-698148a8e4ae.PDF,PDF,2984,ows_disclosure-20180825,2022-12-07 22:24:24,['148143'],['22华润Y3'],,,,,
0,064eb6b8-da14-4f11-8aa4-50bc97b2bb26,1215294320,22粤环G1：广东省环保集团有限公司2022年面向专业投资者公开发行绿色可续期公司债券（第一期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-07/3762fbd6-e14a-41a3-8bf3-847a24eb98a4.PDF,PDF,3311,ows_disclosure-20180825,2022-12-07 18:44:26,['148140'],['22粤环G1'],,,,,
0,c7dd8f0a-6772-4343-a5bd-fdfe6cced1c6,1215294319,22粤环G1：广东省环保集团有限公司2022年面向专业投资者公开发行绿色可续期公司债券（第一期）募集说明书,,/disc/disk03/finalpage/2022-12-07/686ec1b8-3d46-4e3f-ab52-419ede361d7f.PDF,PDF,4491,ows_disclosure-20180825,2022-12-07 18:44:25,['148140'],['22粤环G1'],,,,,
0,2cf6cdd8-4c73-41cd-863e-c52048f2078e,1215293525,22粤财02：2 募集说明书,,/disc/disk03/finalpage/2022-12-07/a6b7a21d-548f-49e0-9331-bd782eb3a6d7.PDF,PDF,5937,ows_disclosure-20180825,2022-12-07 16:14:32,['148146'],['22粤财02'],,,,,
0,01af4f21-6034-4e77-a99f-a1070dad9997,1215293521,22粤财01：2 募集说明书,,/disc/disk03/finalpage/2022-12-07/0c679c3f-c131-4dcd-8556-ed89daa68f06.PDF,PDF,5937,ows_disclosure-20180825,2022-12-07 16:14:27,['148145'],['22粤财01'],,,,,
0,f86a57e9-ed01-4073-9ebf-e1c8618a7a87,1215287336,22广开Y2：广州开发区控股集团有限公司2022年面向专业投资者公开发行可续期公司债券（第二期）募集说明书,,/disc/disk03/finalpage/2022-12-06/41e1a492-0762-453a-9091-c80309104a91.PDF,PDF,13651,ows_disclosure-20180825,2022-12-06 16:40:24,['148139'],['22广开Y2'],,,,,
0,056488b9-5593-428c-b8a6-31ae021271e5,1215265892,22兴城Y6：成都兴城投资集团有限公司2022年面向专业投资者公开发行可续期公司债券（第三期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-02/ac7e2424-3297-44f2-a7e9-0c3cca7fb2a6.PDF,PDF,4997,ows_disclosure-20180825,2022-12-02 16:34:25,['148135'],['22兴城Y6'],,,,,
0,cbf6370c-c3b2-446e-8e1f-67f28041b47b,1215265891,22兴城Y6：成都兴城投资集团有限公司2022年面向专业投资者公开发行可续期公司债券（第三期）募集说明书,,/disc/disk03/finalpage/2022-12-02/c8924ab0-8368-4d4e-bdeb-cedc2e887fc8.PDF,PDF,11954,ows_disclosure-20180825,2022-12-02 16:34:24,['148135'],['22兴城Y6'],,,,,
0,000d0ee7-5852-4e96-9a7e-db8dfa49b925,1215265888,22兴城Y5：成都兴城投资集团有限公司2022年面向专业投资者公开发行可续期公司债券（第三期）募集说明书摘要,,/disc/disk03/finalpage/2022-12-02/25bfebe5-b2b1-4f55-9e11-32533afca8c6.PDF,PDF,4997,ows_disclosure-20180825,2022-12-02 16:34:23,['148134'],['22兴城Y5'],,,,,
0,6a25ff1b-6f0c-4894-8170-b91f5ee0ffc9,1215265887,22兴城Y5：成都兴城投资集团有限公司2022年面向专业投资者公开发行可续期公司债券（第三期）募集说明书,,/disc/disk03/finalpage/2022-12-02/6f332dbd-53a8-42bb-896c-a7410f1c33f1.PDF,PDF,11954,ows_disclosure-20180825,2022-12-02 16:32:25,['148134'],['22兴城Y5'],,,,,
0,d54c288b-9ae1-4e8d-a111-a082c750bb78,1215222044,22泸窖01：泸州老窖股份有限公司2022年面向专业投资者公开发行公司债券（第一期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-28/b64d97ec-90a9-456d-8d18-e7974c5fc787.PDF,PDF,2646,ows_disclosure-20180825,2022-11-28 19:18:28,['148133'],['22泸窖01'],,,,,
0,391b8fb2-ca4d-4beb-bf14-3e009d3c50e3,1215222043,22泸窖01：泸州老窖股份有限公司2022年面向专业投资者公开发行公司债券（第一期）募集说明书,,/disc/disk03/finalpage/2022-11-28/5fc881ae-72e4-478b-ad1b-7d880fd667c7.PDF,PDF,6884,ows_disclosure-20180825,2022-11-28 19:18:27,['148133'],['22泸窖01'],,,,,
0,ad17b778-7b89-41f5-832d-1ce163e1b8df,1215185565,22DJLQ02：中电建路桥集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-23/b088d617-4114-4df9-841e-c3d44dd92a65.PDF,PDF,3151,ows_disclosure-20180825,2022-11-23 16:44:22,['148129'],['22DJLQ02'],,,,,
0,efb20991-63e4-4d17-bbfd-1c731a22c3b2,1215185564,22DJLQ02：中电建路桥集团有限公司2022年面向专业投资者公开发行公司债券（第二期）募集说明书,,/disc/disk03/finalpage/2022-11-23/64242965-64d3-4f52-9b39-b09ed72acf02.PDF,PDF,10293,ows_disclosure-20180825,2022-11-23 16:44:21,['148129'],['22DJLQ02'],,,,,
0,85ec15e7-abef-422f-998e-ff98691ad188,1215173891,22润置13：华润置地控股有限公司2022年面向专业投资者公开发行公司债券（第七期）募集说明书摘要,,/disc/disk03/finalpage/2022-11-22/d398d45a-b9b3-4455-a2c5-7da3d2e09f33.PDF,PDF,3304,ows_disclosure-20180825,2022-11-22 16:58:37,['148132'],['22润置13'],,,,,
